survey,year,format,version,release_date,file_name,bytes,sha256,source_url,mirror_url
eavs,2016,csv,1.1,2023-12-18,eavs_2016_csv.zip,2433517,c57397219382eb28c274c828a0a0ecd47c6eac85b66cb7cb926d63740bdcf659,https://www.eac.gov/sites/default/files/2023-12/EAVS_2016_for_Public_Release_nolabel_V1.1_CSV.zip,
eavs,2016,xlsx,1.1,2023-12-18,eavs_2016_xlsx.xlsx,13534269,fab323faf557207767514e206719ae7f2d2ee7639eb19c8d73caa34181bada25,https://www.eac.gov/sites/default/files/2023-12/EAVS_2016_for_Public_Release_V1.1_0.xlsx,
eavs,2018,csv,1.3,2020-07-15,eavs_2018_csv.csv,33766253,ae2e763c01ed091e0f6b7b688603a951141f03224f1ab247a67d0af5d17e2364,https://www.eac.gov/sites/default/files/Research/EAVS_2018_for_Public_Release_Updates3.csv,
eavs,2018,xlsx,1.3,2020-07-15,eavs_2018_xlsx.xlsx,9711779,5499038a354a3edd004b9f28c15e36e1d09a8e2741ceef1575c469591bd4efe0,https://www.eac.gov/sites/default/files/Research/EAVS_2018_for_Public_Release_Updates3.xlsx,
eavs,2020,csv,1.2,2023-12-18,eavs_2020_csv.zip,2037428,c7a4041364cb14f0bb0679db68dd0ed7449feaf52ccfccd8f1052afa6ac94bc6,https://www.eac.gov/sites/default/files/2023-12/2020_EAVS_for_Public_Release_nolabel_V1.2_CSV.zip,
eavs,2020,xlsx,1.2,2023-12-18,eavs_2020_xlsx.xlsx,10117943,e93dfd906cd2ff93ae101ed647731baa0d9ca9c21a7ca6c0bf1f6c2bfbe514b9,https://www.eac.gov/sites/default/files/2023-12/2020_EAVS_for_Public_Release_V1.2.xlsx,
eavs,2022,csv,1.1,2023-12-18,eavs_2022_csv.zip,2048270,063a38eca8ee1e82aa4b60ef33eee124a58bd288f10d05126957620719d32acc,https://www.eac.gov/sites/default/files/2023-12/2022_EAVS_for_Public_Release_nolabel_V1.1_CSV.zip,
eavs,2022,xlsx,1.1,2023-12-18,eavs_2022_xlsx.xlsx,10330861,ebcc51eade35dd3b05d65067e64d57e4267a29c9e2302ef0185eb6ef0e16c6ed,https://www.eac.gov/sites/default/files/2023-12/2022_EAVS_for_Public_Release_V1.1.xlsx,
eavs,2024,csv,2.0,2026-02-12,eavs_2024_csv.zip,2119187,4073b9f48e1791d44a78ddc543379f6c040c31ce733dfa47676330b4d7f6d6df,https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip,
eavs,2024,xlsx,2.0,2026-02-12,eavs_2024_xlsx.xlsx,13024668,e0e5ed4e53da207b206b07a48ea37841a7fa10d2f7ad4a5bb4ecf4d2bb3b702c,https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_V2.xlsx,
policy,2018,csv,1.0,2019-06-27,policy_2018_csv.csv,18017,02fbe2cec833035857521b11540548c0d4a05e825d305febbae931dce70b2029,https://www.eac.gov/sites/default/files/eac_assets/1/6/EAVS_PolicySurvey_2018_nolabel.csv,
policy,2018,xlsx,1.0,2019-06-27,policy_2018_xlsx.xlsx,23630,e157d442018bd859e6eb563bbef4fc705caf141c067aa88bed64aa55faffc10c,https://www.eac.gov/sites/default/files/eac_assets/1/6/EAVS_PolicySurvey_2018_for_Public_Release.xlsx,
policy,2020,csv,1.0,2021-08-16,policy_2020_csv.csv,162375,cdfdfbb7c87a41e9d0df713e347623a72754f0e53ceb91f38fc3f046634921e6,https://www.eac.gov/sites/default/files/2021-08/2020_Policy_Survey_for_Public_Release_nolabel%5B1%5D.csv,
policy,2020,xlsx,1.0,2021-08-16,policy_2020_xlsx.xlsx,107093,c86b0fdad8b3933636fab307f8a187cb87a5aef342d412056268628db2b3ceab,https://www.eac.gov/sites/default/files/2021-08/2020_Policy_Survey_for_Public_Release%5B1%5D.xlsx,
policy,2022,csv,1.1,2023-12-18,policy_2022_csv.zip,51970,92c87fae8ff0fff71fac5c720e73a1d93168048d5e867b6192fa5e36fadef810,https://www.eac.gov/sites/default/files/2023-12/2022_Policy_Survey_for_Public_Release_nolabel_V2_CSV.zip,
policy,2022,xlsx,1.1,2023-12-18,policy_2022_xlsx.xlsx,124299,868affc7090583d50794aef1d9cb9662bd450769cd40ad92232d38da4894636a,https://www.eac.gov/sites/default/files/2023-12/2022_Policy_Survey_for_Public_Release_V2_v1.1.xlsx,
policy,2024,csv,2.0,2026-02-12,policy_2024_csv.zip,76826,1adaecd905b8a3a81326404a05f97254a5be2cfa4829f1271245ba4f26be6105,https://www.eac.gov/sites/default/files/2026-02/2024_Policy_Survey_for_Public_Release_nolabel_V2_csv.zip,
policy,2024,xlsx,2.0,2026-02-12,policy_2024_xlsx.xlsx,188619,ccac18a8a4d4dba031409dd32c9ca1568e28bd1e3f4595cd6c1c797ec479e178,https://www.eac.gov/sites/default/files/2026-02/2024_Policy_Survey_for_Public_Release_V2.xlsx,
